category,scientific_name,common_names,conservation_status
Mammal,Rattus norvegicus,Norway Rat,Safe
Mammal,Rattus rattus,Black Rat,Safe
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
Mammal,Glaucomys volans,Southern Flying Squirrel,Safe
Mammal,Marmota monax,Woodchuck,Safe
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",Safe
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Safe
Mammal,Tamias striatus,Eastern Chipmunk,Safe
Mammal,Tamiasciurus hudsonicus,Red Squirrel,Safe
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Safe
Mammal,Cryptotis parva,Least Shrew,Safe
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",Safe
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",Safe
Mammal,Sorex fumeus,Smoky Shrew,Safe
Mammal,Sorex hoyi,Pygmy Shrew,Safe
Mammal,Sorex longirostris,Southeastern Shrew,Safe
Mammal,Sorex palustris,Water Shrew,Safe
Mammal,Condylura cristata,Star-Nosed Mole,Safe
Mammal,Parascalops breweri,Hairy-Tailed Mole,Safe
Mammal,Scalopus aquaticus,Eastern Mole,Safe
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,Safe
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
Bird,Accipiter gentilis,Northern Goshawk,Safe
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
Bird,Buteo jamaicensis,Red-Tailed Hawk,Safe
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern
Bird,Buteo platypterus,Broad-Winged Hawk,Safe
Bird,Circus cyaneus,Northern Harrier,Species of Concern
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
Bird,Ictinia mississippiensis,Mississippi Kite,Safe
Bird,Cathartes aura,Turkey Vulture,Species of Concern
Bird,Coragyps atratus,Black Vulture,Safe
Bird,Pandion haliaetus,Osprey,Species of Concern
Bird,Aix sponsa,Wood Duck,Safe
Bird,Anas acuta,Northern Pintail,Safe
Bird,Anas americana,American Wigeon,Safe
Bird,Anas clypeata,Northern Shoveler,Safe
Bird,Anas crecca,Green-Winged Teal,Safe
Bird,Anas discors,Blue-Winged Teal,Safe
Bird,Anas platyrhynchos,Mallard,Safe
Bird,Anas rubripes,American Black Duck,Safe
Bird,Aythya affinis,Lesser Scaup,Species of Concern
Bird,Aythya americana,Redhead,Safe
Bird,Aythya collaris,Ring-Necked Duck,Safe
Bird,Branta bernicla,Brant,Safe
Bird,Branta canadensis,Canada Goose,Safe
Bird,Bucephala albeola,Bufflehead,Safe
Bird,Bucephala clangula,Common Goldeneye,Safe
Bird,Chen caerulescens,Snow Goose,Safe
Bird,Histrionicus histrionicus,Harlequin Duck,Safe
Bird,Lophodytes cucullatus,Hooded Merganser,Safe
Bird,Melanitta deglandi,White-Winged Scoter,Safe
Bird,Melanitta fusca,White-Winged Scoter,Safe
Bird,Melanitta nigra,Black Scoter,Safe
Bird,Mergus merganser,Common Merganser,Safe
Bird,Mergus serrator,Red-Breasted Merganser,Safe
Bird,Oxyura jamaicensis,Ruddy Duck,Safe
Bird,Chaetura pelagica,Chimney Swift,Safe
Bird,Archilochus colubris,Ruby-Throated Hummingbird,Safe
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,Safe
Bird,Caprimulgus vociferus,Whip-Poor-Will,Safe
Bird,Chordeiles minor,Common Nighthawk,Safe
Bird,Charadrius semipalmatus,Semipalmated Plover,Safe
Bird,Charadrius vociferus,Killdeer,Safe
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",Safe
Bird,Chlidonias niger,Black Tern,Species of Concern
Bird,Larus argentatis,Herring Gull,Safe
Bird,Larus atricilla,Laughing Gull,Species of Concern
Bird,Larus delawarensis,Ring-Billed Gull,Safe
Bird,Larus philadelphia,Bonaparte's Gull,Safe
Bird,Sterna fuscata,Sooty Tern,Safe
Bird,Actitis macularia,Spotted Sandpiper,Safe
Bird,Calidris minutilla,Least Sandpiper,Safe
Bird,Calidris pusilla,Semipalmated Sandpiper,Safe
Bird,Catoptrophorus semipalmatus,Willet,Safe
Bird,Gallinago gallinago,Common Snipe,Safe
Bird,Limnodromus griseus,Short-Billed Dowitcher,Safe
Bird,Phalaropus fulicarius,Red Phalarope,Safe
Bird,Phalaropus lobatus,Red-Necked Phalarope,Safe
Bird,Philomachus pugnax,Ruff,Safe
Bird,Scolopax minor,American Woodcock,Safe
Bird,Tringa flavipes,Lesser Yellowlegs,Safe
Bird,Tringa melanoleuca,Greater Yellowlegs,Safe
Bird,Tringa solitaria,Solitary Sandpiper,Safe
Bird,Columba livia,Rock Dove,Safe
Bird,Ectopistes migratorius,Passenger Pigeon,Safe
Bird,Zenaida macroura,Mourning Dove,Safe
Bird,Ceryle alcyon,Belted Kingfisher,Safe
Bird,Ceryle torquata,Ringed Kingfisher,Safe
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,Safe
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern
Bird,Falco columbarius,Merlin,Species of Concern
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern
Bird,Falco sparverius,American Kestrel,Safe
Bird,Colinus virginianus,Northern Bobwhite,Safe
Bird,Alectoris chukar,Chukar,Safe
Bird,Bonasa umbellus,Ruffed Grouse,Safe
Bird,Meleagris gallopavo,Wild Turkey,Safe
Bird,Pavo cristatus,Peacock,Safe
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",Safe
Bird,Gavia immer,Common Loon,Species of Concern
Bird,Grus americana,Whooping Crane,Endangered
Bird,Grus canadensis,Sandhill Crane,Safe
Bird,Fulica americana,American Coot,Safe
Bird,Gallinula chloropus,Common Moorhen,Safe
Bird,Porzana carolina,Sora,Safe
Bird,Rallus elegans,King Rail,Species of Concern
Bird,Rallus limicola,Virginia Rail,Safe
Bird,Eremophila alpestris,Horned Lark,Safe
Bird,Bombycilla cedrorum,Cedar Waxwing,Safe
Bird,Calcarius ornatus,Chestnut-Collared Longspur,Safe
Bird,Plectrophenax nivalis,Snow Bunting,Safe
Bird,Cardinalis cardinalis,Northern Cardinal,Safe
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern
Bird,Passerina cyanea,Indigo Bunting,Safe
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Safe
Bird,Piranga olivacea,Scarlet Tanager,Safe
Bird,Piranga rubra,Summer Tanager,Species of Concern
Bird,Spiza americana,Dickcissel,Safe
Bird,Certhia americana,Brown Creeper,Species of Concern
Bird,Certhia familiaris,Eurasian Treecreeper,Safe
Bird,Corvus brachyrhynchos,American Crow,Safe
Bird,Corvus corax,Common Raven,Safe
Bird,Cyanocitta cristata,Blue Jay,Safe
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
Bird,Ammodramus henslowii,Henslow's Sparrow,Safe
Bird,Ammodramus leconteii,Le Conte's Sparrow,Safe
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
Bird,Chondestes grammacus,Lark Sparrow,Safe
Bird,Junco hyemalis,Dark-Eyed Junco,Safe
Bird,Melospiza georgiana,Swamp Sparrow,Safe
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern
Bird,Melospiza melodia,Song Sparrow,Safe
Bird,Passerculus sandwichensis,Savannah Sparrow,Safe
Bird,Passerella iliaca,Fox Sparrow,Safe
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",Safe
Bird,Pooecetes gramineus,Vesper Sparrow,Safe
Bird,Spizella arborea,American Tree Sparrow,Safe
Bird,Spizella passerina,Chipping Sparrow,Safe
Bird,Spizella pusilla,Field Sparrow,Safe
Bird,Zonotrichia albicollis,White-Throated Sparrow,Safe
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,Safe
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,Safe
Bird,Carduelis flammea,Common Redpoll,Safe
Bird,Carduelis pinus,Pine Siskin,Safe
Bird,Carduelis tristis,American Goldfinch,Safe
Bird,Carpodacus mexicanus,House Finch,Safe
Bird,Carpodacus purpureus,Purple Finch,Safe
Bird,Coccothraustes vespertinus,Evening Grosbeak,Safe
Bird,Loxia curvirostra,Red Crossbill,Species of Concern
Bird,Loxia leucoptera,White-Winged Crossbill,Safe
Bird,Hirundo rustica,Barn Swallow,Safe
Bird,Petrochelidon pyrrhonota,Cliff Swallow,Safe
Bird,Progne subis,Purple Martin,Species of Concern
Bird,Riparia riparia,Bank Swallow,Species of Concern
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Safe
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern
Bird,Agelaius phoeniceus,Red-Winged Blackbird,Safe
Bird,Dolichonyx oryzivorus,Bobolink,Safe
Bird,Euphagus carolinus,Rusty Blackbird,Safe
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",Safe
Bird,Icterus spurius,Orchard Oriole,Safe
Bird,Molothrus ater,Brown-Headed Cowbird,Safe
Bird,Quiscalus quiscula,Common Grackle,Safe
Bird,Sturnella magna,Eastern Meadowlark,Safe
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Safe
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern
Bird,Dumetella carolinensis,Gray Catbird,Safe
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",Safe
Bird,Toxostoma rufum,Brown Thrasher,Safe
Bird,Anthus rubescens,Water Pipit,Safe
Bird,Anthus spinoletta,Water Pipit,Safe
Bird,Baeolophus bicolor,Tufted Titmouse,Safe
Bird,Poecile atricapillus,Black-Capped Chickadee,Safe
Bird,Poecile carolinensis,Carolina Chickadee,Safe
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,Safe
Bird,Dendroica castanea,Bay-Breasted Warbler,Safe
Bird,Dendroica cerulea,Cerulean Warbler,Safe
Bird,Dendroica coronata,Yellow-Rumped Warbler,Safe
Bird,Dendroica discolor,Prairie Warbler,Safe
Bird,Dendroica dominica,Yellow-Throated Warbler,Safe
Bird,Dendroica fusca,Blackburnian Warbler,Safe
Bird,Dendroica magnolia,Magnolia Warbler,Safe
Bird,Dendroica palmarum,Palm Warbler,Safe
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,Safe
Bird,Dendroica petechia,Yellow Warbler,Safe
Bird,Dendroica pinus,Pine Warbler,Safe
Bird,Dendroica striata,Blackpoll Warbler,Safe
Bird,Dendroica tigrina,Cape May Warbler,Safe
Bird,Dendroica virens,Black-Throated Green Warbler,Safe
Bird,Geothlypis trichas,Common Yellowthroat,Safe
Bird,Helmitheros vermivorus,Worm-Eating Warbler,Safe
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern
Bird,Limnothlypis swainsonii,Swainson's Warbler,Safe
Bird,Mniotilta varia,Black-And-White Warbler,Safe
Bird,Oporornis agilis,Connecticut Warbler,Safe
Bird,Oporornis formosus,Kentucky Warbler,Safe
Bird,Oporornis philadelphia,Mourning Warbler,Safe
Bird,Parula americana,Northern Parula,Safe
Bird,Protonotaria citrea,Prothonotary Warbler,Safe
Bird,Seiurus aurocapilla,Ovenbird,Safe
Bird,Seiurus motacilla,Louisiana Waterthrush,Safe
Bird,Seiurus noveboracensis,Northern Waterthrush,Safe
Bird,Setophaga ruticilla,American Redstart,Safe
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered
Bird,Vermivora celata,Orange-Crowned Warbler,Safe
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,Safe
Bird,Vermivora lawrencei,Lawrence's Warbler,Safe
Bird,Vermivora lawrencii,Lawrence's Warbler,Safe
Bird,Vermivora leucobronchialis,Brewster's Warbler,Safe
Bird,Vermivora peregrina,Tennessee Warbler,Safe
Bird,Vermivora pinus,Blue-Winged Warbler,Safe
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern
Bird,Wilsonia canadensis,Canada Warbler,Safe
Bird,Wilsonia citrina,Hooded Warbler,Safe
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern
Bird,Passer domesticus,House Sparrow,Safe
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,Safe
Bird,Regulus calendula,Ruby-Crowned Kinglet,Safe
Bird,Regulus satrapa,Golden-Crowned Kinglet,Safe
Bird,Sitta canadensis,Red-Breasted Nuthatch,Safe
Bird,Sitta carolinensis,White-Breasted Nuthatch,Safe
Bird,Sturnus vulgaris,European Starling,Safe
Bird,Cistothorus palustris,Marsh Wren,Safe
Bird,Cistothorus platensis,Sedge Wren,Safe
Bird,Thryomanes bewickii,Bewick's Wren,Safe
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern
Bird,Thryothorus ludovicianus,Carolina Wren,Safe
Bird,Troglodytes aedon,House Wren,Safe
Bird,Troglodytes troglodytes,Winter Wren,Safe
Bird,Catharus fuscescens,Veery,Safe
Bird,Catharus guttatus,Hermit Thrush,Safe
Bird,Catharus minimus,Gray-Cheeked Thrush,Safe
Bird,Catharus ustulatus,Swainson's Thrush,Safe
Bird,Hylocichla mustelina,Wood Thrush,Safe
Bird,Sialia sialis,Eastern Bluebird,Safe
Bird,Turdus migratorius,American Robin,Safe
Bird,Contopus borealis,Olive-Sided Flycatcher,Safe
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern
Bird,Contopus virens,Eastern Wood-Pewee,Safe
Bird,Empidonax alnorum,Alder Flycatcher,Safe
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,Safe
Bird,Empidonax minimus,Least Flycatcher,Safe
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern
Bird,Empidonax virescens,Acadian Flycatcher,Safe
Bird,Myiarchus crinitus,Great Crested Flycatcher,Safe
Bird,Sayornis phoebe,Eastern Phoebe,Safe
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,Safe
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,Safe
Bird,Tyrannus tyrannus,Eastern Kingbird,Safe
Bird,Tyrannus verticalis,Western Kingbird,Safe
Bird,Vireo flavifrons,Yellow-Throated Vireo,Safe
Bird,Vireo gilvus,Warbling Vireo,Safe
Bird,Vireo griseus,White-Eyed Vireo,Safe
Bird,Vireo olivaceus,Red-Eyed Vireo,Safe
Bird,Vireo philadelphicus,Philadelphia Vireo,Safe
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",Safe
Bird,Ardea alba,Great Egret,Safe
Bird,Ardea albus,Great Egret,Safe
Bird,Ardea herodias,Great Blue Heron,Species of Concern
Bird,Botaurus lentiginosus,American Bittern,Species of Concern
Bird,Butorides virescens,Green-Backed Heron,Safe
Bird,Egretta caerulea,Little Blue Heron,Safe
Bird,Ixobrychus exilis,Least Bittern,Safe
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,Safe
Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern
Bird,Colaptes auratus,Northern Flicker,Safe
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,Safe
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,Safe
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern
Bird,Picoides villosus,Hairy Woodpecker,Safe
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern
Bird,Podiceps auritus,Horned Grebe,Safe
Bird,Podilymbus podiceps,Pied-Billed Grebe,Safe
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,Safe
Bird,Aegolius,Saw-Whet Owls,Safe
Bird,Aegolius acadicus,Northern Saw-Whet Owl,Safe
Bird,Asio flammeus,Short-Eared Owl,Species of Concern
Bird,Asio otus,Long-Eared Owl,Species of Concern
Bird,Bubo virginianus,Great Horned Owl,Safe
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",Safe
Bird,Otus asio,Eastern Screech-Owl,Safe
Bird,Strix varia,Barred Owl,Safe
Bird,Tyto alba,"Barn Owl, Common Barn-Owl",Safe
Bird,Tytonidae,Barn-Owls,Safe
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,Safe
Reptile,Carphophis,"Worm Snakes, Wormsnakes",Safe
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,Safe
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,Safe
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,Safe
Reptile,Coluber constrictor constrictor,Northern Black Racer,Safe
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,Safe
Reptile,Elaphe guttata guttata,Corn Snake,Safe
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,Safe
Reptile,Heterodon platirhinos,Eastern Hognose Snake,Safe
Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",Safe
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,Safe
Reptile,Lampropeltis getula getula,Eastern Kingsnake,Safe
Reptile,Lampropeltis getula nigra,Black Kingsnake,Safe
Reptile,Lampropeltis triangulum elapsoides,Scarlet Kingsnake,Safe
Reptile,Lampropeltis triangulum triangulum,Eastern Milk Snake,Safe
Reptile,Nerodia erythrogaster,Plainbelly Water Snake,Safe
Reptile,Nerodia erythrogaster flavigaster,"Yellowbelly Water Snake, Yellowbelly Watersnake",Safe
Reptile,Nerodia sipedon sipedon,Northern Water Snake,Safe
Reptile,Opheodrys aestivus aestivus,Eastern Rough Green Snake,Safe
Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern
Reptile,Regina septemvittata,Queen Snake,Species of Concern
Reptile,Storeria dekayi dekayi,Northern Brown Snake,Safe
Reptile,Storeria dekayi wrightorum,Midland Brown Snake,Safe
Reptile,Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,Safe
Reptile,Tantilla coronata,Southeastern Crowned Snake,Safe
Reptile,Thamnophis sirtalis sirtalis,Common Garter Snake,Safe
Reptile,Virginia valeriae valeriae,Eastern Earth Snake,Safe
Reptile,Anolis carolinensis carolinensis,Northern Green Anole,Safe
Reptile,Sceloporus undulatus hyacinthinus,Northern Fence Lizard,Safe
Reptile,Eumeces anthracinus,Coal Skink,Safe
Reptile,Eumeces fasciatus,Five-Lined Skink,Safe
Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,Safe
Reptile,Eumeces laticeps,Broadhead Skink,Safe
Reptile,Scincella lateralis,Ground Skink,Safe
Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,Safe
Reptile,Agkistrodon contortrix mokasen,Northern Copperhead,Safe
Reptile,Crotalus horridus,Timber Rattlesnake,Safe
Reptile,Chelydra serpentina serpentina,Common Snapping Turtle,Safe
Reptile,Chrysemys picta marginata,Midland Painted Turtle,Safe
Reptile,Chrysemys picta picta,Eastern Painted Turtle,Safe
Reptile,Clemmys muhlenbergii,Bog Turtle,Safe
Reptile,Graptemys geographica,"Common Map Turtle, Map Turtle",Safe
Reptile,Graptemys ouachitensis,Ouachita Map Turtle,Safe
Reptile,Terrapene carolina carolina,Eastern Box Turtle,Safe
Reptile,Trachemys scripta,Slider,Safe
Reptile,Trachemys scripta troostii,Cumberland Slider,Safe
Reptile,Sternotherus minor peltifer,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",Safe
Reptile,Sternotherus odoratus,Common Musk Turtle,Safe
Reptile,Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",Safe
Amphibian,Bufo americanus americanus,Eastern American Toad,Safe
Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",Safe
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,Safe
Amphibian,Hyla chrysoscelis,Cope's Gray Treefrog,Safe
Amphibian,Hyla versicolor,Gray Treefrog,Safe
Amphibian,Pseudacris brachyphona,Mountain Chorus Frog,Safe
Amphibian,Pseudacris crucifer crucifer,Northern Spring Peeper,Safe
Amphibian,Pseudacris feriarum feriarum,Upland Chorus Frog,Safe
Amphibian,Pseudacris triseriata,"Striped Chorus Frog, Western Chorus Frog",Safe
Amphibian,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,Safe
Amphibian,Rana catesbeiana,American Bullfrog,Safe
Amphibian,Rana clamitans melanota,Northern Green Frog,Safe
Amphibian,Rana palustris,Pickerel Frog,Safe
Amphibian,Rana pipiens,Northern Leopard Frog,Safe
Amphibian,Rana sphenocephala,Southern Leopard Frog,Safe
Amphibian,Rana sylvatica,Wood Frog,Safe
Amphibian,Scaphiopus holbrookii holbrookii,Eastern Spadefoot,Safe
Amphibian,Ambystoma maculatum,Spotted Salamander,Safe
Amphibian,Ambystoma opacum,Marbled Salamander,Safe
Amphibian,Ambystoma talpoideum,Mole Salamander,Safe
Amphibian,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Species of Concern
Amphibian,Desmognathus conanti,Spotted Dusky Salamander,Safe
Amphibian,Desmognathus imitator,Imitator Salamander,Safe
Amphibian,Desmognathus marmoratus,Shovel-Nosed Salamander,Safe
Amphibian,Desmognathus monticola,Seal Salamander,Safe
Amphibian,Desmognathus ocoee,Ocoee Salamander,Safe
Amphibian,Desmognathus quadramaculatus,Black-Bellied Salamander,Safe
Amphibian,Desmognathus santeetlah,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",Safe
Amphibian,Desmognathus wrighti,Pigmy Salamander,Species of Concern
Amphibian,Eurycea,Brook Salamanders,Safe
Amphibian,Eurycea bislineata,"Northern Two-Lined Salamander, Two-Lined Salamander",Safe
Amphibian,Eurycea cirrigera,Southern Two-Lined Salamander,Safe
Amphibian,Eurycea guttolineata,Three-Lined Salamander,Safe
Amphibian,Eurycea junaluska,Junaluska Salamander,Safe
Amphibian,Eurycea longicauda longicauda,Longtail Salamander,Safe
Amphibian,Eurycea lucifuga,Cave Salamander,Safe
Amphibian,Eurycea wilderae,Blue Ridge Two-Lined Salamander,Safe
Amphibian,Gyrinophilus porphyriticus,Spring Salamander,Safe
Amphibian,Hemidactylium scutatum,Four-Toed Salamander,Safe
Amphibian,Plethodon,Woodland Salamanders,Safe
Amphibian,Plethodon aureolus,Tellico Salamander,Safe
Amphibian,Plethodon cinereus,"Eastern Red-Backed Salamander, Redback Salamander",Safe
Amphibian,Plethodon dorsalis,Northern Zigzag Salamander,Safe
Amphibian,Plethodon glutinosus,Snorthern Slimy Salamander,Safe
Amphibian,Plethodon jordani,"Appalachian Salamander, Jordan's Salamander",Safe
Amphibian,Plethodon metcalfi,Southern Gray-Cheeked Salamander,Safe
Amphibian,Plethodon oconaluftee,Southern Appalachian Salamander,Safe
Amphibian,Plethodon serratus,Southern Red-Backed Salamander,Safe
Amphibian,Plethodon ventralis,Southern Zigzag Salamander,Safe
