category,scientific_name,conservation_status,park_name,observations
Vascular Plant,Anemone parviflora,Safe,Yellowstone National Park,259
Vascular Plant,Anemone patens var. multifida,Safe,Yellowstone National Park,222
Vascular Plant,Anemone quinquefolia,Safe,Yellowstone National Park,237
Vascular Plant,Anemone tetonensis,Safe,Yellowstone National Park,239
Vascular Plant,Anemone virginiana,Safe,Yellowstone National Park,221
Nonvascular Plant,Aneura pinguis,Safe,Yellowstone National Park,251
Vascular Plant,Angelica arguta,Safe,Yellowstone National Park,253
Vascular Plant,Angelica atropurpurea,Safe,Yellowstone National Park,278
Vascular Plant,Angelica breweri,Safe,Yellowstone National Park,243
Vascular Plant,Angelica lineariloba,Safe,Yellowstone National Park,284
Vascular Plant,Angelica pinnata,Safe,Yellowstone National Park,248
Vascular Plant,Angelica roseana,Safe,Yellowstone National Park,215
Vascular Plant,Angelica triquinata,Safe,Yellowstone National Park,258
Vascular Plant,Angelica venenosa,Safe,Yellowstone National Park,278
Nonvascular Plant,Anoectangium aestivum,Safe,Yellowstone National Park,254
Reptile,Anolis carolinensis carolinensis,Safe,Yellowstone National Park,257
Nonvascular Plant,Anomobryum filiforme,Safe,Yellowstone National Park,211
Nonvascular Plant,Anomodon attenuatus,Safe,Yellowstone National Park,235
Nonvascular Plant,Anomodon minor,Safe,Yellowstone National Park,286
Nonvascular Plant,Anomodon rostratus,Safe,Yellowstone National Park,247
Nonvascular Plant,Anomodon rugelii,Safe,Yellowstone National Park,276
Nonvascular Plant,Anomodon viticulosus,Safe,Yellowstone National Park,230
Bird,Anser albifrons,Safe,Yellowstone National Park,221
Vascular Plant,Antennaria anaphaloides,Safe,Yellowstone National Park,234
Vascular Plant,Antennaria argentea,Safe,Yellowstone National Park,249
Vascular Plant,Antennaria aromatica,Safe,Yellowstone National Park,256
Vascular Plant,Antennaria corymbosa,Safe,Yellowstone National Park,250
Vascular Plant,Antennaria dimorpha,Safe,Yellowstone National Park,259
Vascular Plant,Antennaria flagellaris,Safe,Yellowstone National Park,264
Vascular Plant,Antennaria lanata,Safe,Yellowstone National Park,287
Vascular Plant,Antennaria luzuloides,Safe,Yellowstone National Park,252
Vascular Plant,Antennaria media,Safe,Yellowstone National Park,265
Vascular Plant,Antennaria microphylla,Safe,Yellowstone National Park,283
Vascular Plant,Antennaria neglecta,Safe,Yellowstone National Park,221
Vascular Plant,Antennaria parlinii ssp. fallax,Safe,Yellowstone National Park,212
Vascular Plant,Antennaria parvifolia,Safe,Yellowstone National Park,249
Vascular Plant,Antennaria plantaginifolia,Safe,Yellowstone National Park,241
Vascular Plant,Antennaria pulcherrima,Safe,Yellowstone National Park,268
Vascular Plant,Antennaria racemosa,Safe,Yellowstone National Park,250
Vascular Plant,Antennaria rosea,Safe,Yellowstone National Park,259
Vascular Plant,Antennaria rosea ssp. confinis,Safe,Yellowstone National Park,255
Vascular Plant,Antennaria solitaria,Safe,Yellowstone National Park,228
Vascular Plant,Antennaria umbrinella,Safe,Yellowstone National Park,280
Vascular Plant,Anthemis arvensis,Safe,Yellowstone National Park,249
Vascular Plant,Anthemis cotula,Safe,Yellowstone National Park,252
Vascular Plant,Anthemis cotula,Safe,Yellowstone National Park,257
Vascular Plant,Anthemis tinctoria,Safe,Yellowstone National Park,270
Vascular Plant,Anthoxanthum odoratum,Safe,Yellowstone National Park,250
Vascular Plant,Anthriscus caucalis,Safe,Yellowstone National Park,238
Bird,Anthus rubescens,Safe,Yellowstone National Park,268
Bird,Anthus rubescens,Safe,Yellowstone National Park,210
Bird,Anthus spinoletta,Safe,Yellowstone National Park,241
Mammal,Antilocapra americana,Safe,Yellowstone National Park,262
Mammal,Antrozous pallidus,Species of Concern,Yellowstone National Park,244
Reptile,Apalone spinifera spinifera,Safe,Yellowstone National Park,263
Vascular Plant,Apera interrupta,Safe,Yellowstone National Park,209
Vascular Plant,Aphanes microcarpa,Safe,Yellowstone National Park,228
Nonvascular Plant,Aphanorrhegma serratum,Safe,Yellowstone National Park,263
Bird,Aphelocoma californica,Safe,Yellowstone National Park,278
Vascular Plant,Apios americana,Safe,Yellowstone National Park,278
Vascular Plant,Aplectrum hyemale,Safe,Yellowstone National Park,240
Fish,Aplodinotus grunniens,Safe,Yellowstone National Park,275
Mammal,Aplodontia rufa californica,Species of Concern,Yellowstone National Park,251
Vascular Plant,Apocynum androsaemifolium,Safe,Yellowstone National Park,214
Vascular Plant,Apocynum androsaemifolium,Safe,Yellowstone National Park,306
Vascular Plant,Apocynum cannabinum,Safe,Yellowstone National Park,254
Vascular Plant,Apocynum cannabinum,Safe,Yellowstone National Park,278
Vascular Plant,Apocynum cannabinum var. cannabinum,Safe,Yellowstone National Park,262
Nonvascular Plant,Apometzgeria pubescens,Safe,Yellowstone National Park,272
Bird,Aquila chrysaetos,Species of Concern,Yellowstone National Park,183
Vascular Plant,Aquilegia canadensis,Safe,Yellowstone National Park,257
Vascular Plant,Aquilegia coerulea,Safe,Yellowstone National Park,231
Vascular Plant,Aquilegia flavescens,Safe,Yellowstone National Park,236
Vascular Plant,Aquilegia formosa,Safe,Yellowstone National Park,234
Vascular Plant,Aquilegia pubescens,Safe,Yellowstone National Park,261
Vascular Plant,Aquilegia vulgaris,Safe,Yellowstone National Park,253
Vascular Plant,Arabidopsis thaliana,Safe,Yellowstone National Park,245
Vascular Plant,Arabidopsis thaliana,Safe,Yellowstone National Park,220
Vascular Plant,Arabis canadensis,Safe,Yellowstone National Park,257
Vascular Plant,Arabis davidsonii,Safe,Yellowstone National Park,279
Vascular Plant,Arabis drummondii,Safe,Yellowstone National Park,230
Vascular Plant,Arabis glabra var. glabra,Safe,Yellowstone National Park,272
Vascular Plant,Arabis hirsuta var. glabrata,Safe,Yellowstone National Park,248
Vascular Plant,Arabis hirsuta var. pycnocarpa,Safe,Yellowstone National Park,251
Vascular Plant,Arabis holboellii var. pendulocarpa,Safe,Yellowstone National Park,259
Vascular Plant,Arabis holboellii var. pinetorum,Safe,Yellowstone National Park,271
Vascular Plant,Arabis holboellii var. retrofracta,Safe,Yellowstone National Park,229
Vascular Plant,Arabis inyoensis,Safe,Yellowstone National Park,236
Vascular Plant,Arabis laevigata,Safe,Yellowstone National Park,266
Vascular Plant,Arabis laevigata var. burkii,Safe,Yellowstone National Park,213
Vascular Plant,Arabis laevigata var. laevigata,Safe,Yellowstone National Park,237
Vascular Plant,Arabis lemmonii var. depauperata,Safe,Yellowstone National Park,259
Vascular Plant,Arabis lemmonii var. lemmonii,Safe,Yellowstone National Park,255
Vascular Plant,Arabis lyallii var. lyallii,Safe,Yellowstone National Park,263
Vascular Plant,Arabis lyallii var. nubigena,Safe,Yellowstone National Park,254
Vascular Plant,Arabis lyrata,Safe,Yellowstone National Park,250
Vascular Plant,Arabis patens,Safe,Yellowstone National Park,256
Vascular Plant,Arabis platysperma var. howellii,Safe,Yellowstone National Park,267
Vascular Plant,Arabis platysperma var. platysperma,Safe,Yellowstone National Park,258
Vascular Plant,Arabis rectissima var. rectissima,Safe,Yellowstone National Park,261
Vascular Plant,Arabis repanda var. greenei,Safe,Yellowstone National Park,245
Vascular Plant,Arabis repanda var. repanda,Safe,Yellowstone National Park,282
Vascular Plant,Arabis sparsiflora var. arcuata,Safe,Yellowstone National Park,260
Vascular Plant,Arabis X divaricarpa,Safe,Yellowstone National Park,205
Vascular Plant,Aralia californica,Safe,Yellowstone National Park,241
Vascular Plant,Aralia nudicaulis,Safe,Yellowstone National Park,286
Vascular Plant,Aralia racemosa,Safe,Yellowstone National Park,219
Vascular Plant,Aralia spinosa,Safe,Yellowstone National Park,277
Vascular Plant,Arceuthobium abietinum,Safe,Yellowstone National Park,258
Vascular Plant,Arceuthobium americanum,Safe,Yellowstone National Park,232
Vascular Plant,Arceuthobium californicum,Safe,Yellowstone National Park,269
Vascular Plant,Arceuthobium campylopodum,Safe,Yellowstone National Park,260
Vascular Plant,Arceuthobium cyanocarpum,Safe,Yellowstone National Park,270
Vascular Plant,Arceuthobium occidentale,Safe,Yellowstone National Park,257
Bird,Archilochus alexandri,Safe,Yellowstone National Park,246
Bird,Archilochus colubris,Safe,Yellowstone National Park,273
Vascular Plant,Arctium lappa,Safe,Yellowstone National Park,240
Vascular Plant,Arctium minus,Safe,Yellowstone National Park,234
Vascular Plant,Arctium minus,Safe,Yellowstone National Park,255
Nonvascular Plant,Arctoa fulvella,Safe,Yellowstone National Park,246
Vascular Plant,Arctostaphylos nevadensis,Safe,Yellowstone National Park,244
Vascular Plant,Arctostaphylos uva-ursi,Safe,Yellowstone National Park,237
Vascular Plant,Arctostaphylos viscida ssp. mariposa,Safe,Yellowstone National Park,256
Vascular Plant,Arctostaphylos viscida ssp. viscida,Safe,Yellowstone National Park,211
Bird,Ardea alba,Safe,Yellowstone National Park,255
Bird,Ardea albus,Safe,Yellowstone National Park,250
Bird,Ardea herodias,Species of Concern,Yellowstone National Park,199
Vascular Plant,Arenaria aculeata,Safe,Yellowstone National Park,230
Vascular Plant,Arenaria congesta var. subcongesta,Safe,Yellowstone National Park,230
Vascular Plant,Arenaria congesta var. suffrutescens,Safe,Yellowstone National Park,264
Bird,Arenaria interpres,Safe,Yellowstone National Park,216
Vascular Plant,Arenaria serpyllifolia,Safe,Yellowstone National Park,220
Vascular Plant,Arenaria serpyllifolia,Safe,Yellowstone National Park,226
Vascular Plant,Argentina anserina,Safe,Yellowstone National Park,274
